question,answer
地震保険の支払い限度額を確認するにはどこを参照すればよいですか？,保険証券の「保険金額」欄をご確認ください。また、契約中の保険会社マイページでも上限額が表示されます。変更が必要な場合は代理店にお申し付けください。
オンライン署名サービスでワークフローをカスタマイズする方法は？,管理画面の「テンプレート管理」→「ワークフロー設定」から署名順序や承認ルートをドラッグ＆ドロップで編集できます。変更後はテスト送信で動作確認を行ってください。
個人事業主として青色申告を始めるにはどうすればよいですか？,税務署へ「青色申告承認申請書」を開業日または2月15日までに提出してください。承認後、複式簿記で帳簿を作成し、決算書を準備する必要があります。
輸入車ディーラーで部品取り寄せを依頼する際の納期はどれくらいですか？,部品の在庫状況や納入元によって異なりますが、一般的には2週間から1カ月程度かかります。緊急の場合は納期を事前にお問い合わせください。
プラントエンジニアリングでP&ID図を更新する際の注意点は？,最新の機器リストと配管仕様を必ず確認し、変更履歴をP&ID図のフッターに記載してください。更新後は配管係との確認ミーティングを行い、整合性をチェックします。
深夜タクシー配車を依頼する際の割増料金はどれくらいですか？,23:00～5:00は深夜割増が適用され、通常運賃の20%増しとなります。配車アプリで「深夜割増適用」と表示されていることを確認してください。
物流倉庫で温度管理が必要な商品の保管方法は？,冷蔵・冷凍倉庫の指定エリアに保管し、温度センサーでリアルタイム監視を行います。設定温度は製品仕様書に準じ、逸脱時にはメール通知が来るようにシステム構築してください。
クラフトビール醸造所の見学予約はどうすればよいですか？,公式Webサイトの「見学予約」ページで希望日時、参加人数を入力し、送信してください。見学料の支払い方法や集合場所の案内は予約確定メールに記載されます。
産業用ロボットの安全柵設置基準はどのようになっていますか？,ISO10218-1に基づき、安全柵の高さは最低1.8m以上、フレーム間隔は100mm以下、扉には非常停止スイッチを設置してください。詳細はロボットメーカーの安全マニュアルを参照してください。
観光施設で多言語音声ガイドを借りるにはどうすればよいですか？,受付カウンターでパスポートなど身分証明書を提示し、希望言語をお伝えください。音声ガイド本体を貸し出し、返却時に身分証を返却します。利用料は無料または有料（500円程度）が一般的です。
電子回路設計の受託を依頼する際、必要な仕様書の項目は何ですか？,回路ブロック図、動作周波数、消費電力、外部インターフェース仕様、EMC要件、動作温度範囲などを明記した仕様書をご用意ください。
自治体の福祉用具貸与制度を利用するにはどうすればよいですか？,市区町村の福祉課に「福祉用具貸与申請書」を提出し、介護保険認定を受けている場合はケアマネジャーを通じて申請します。審査後、指定事業者から用具が貸与されます。
通信ケーブルの敷設工事を外注する際の見積もり項目は？,ケーブル種類（光ファイバー、LANケーブル等）、敷設距離、モール使用有無、配線ルートの難易度、工事時間帯（平日夜間等）を明示して依頼してください。
建設廃材のリサイクル拠点を調べるにはどうすればよいですか？,環境省の「リサイクル業者検索」ポータルサイトで廃材種類と地域を指定して検索すると、登録業者の一覧が取得できます。また、自治体のホームページにも掲載されている場合があります。
マイナンバーカードの健康保険証利用登録を行う方法は？,マイナポータルアプリをダウンロードし、「マイナ保険証利用登録」メニューから登録手続きを行います。顔認証と健康保険証画像のアップロードが必要です。
オンライン株主総会に参加するにはどのような手順ですか？,事前に株主総会招集通知に記載されたURLから専用サイトにアクセスし、株主番号とパスワードを入力してログインします。会期中にコメント投稿や議決権行使が可能です。
建築業界でBIMモデルを納品する際のファイル形式は何が一般的ですか？,IFC形式やRevit形式（.rvt）が一般的です。納品前に相手方の要望を確認し、必要に応じてAutodesk Navisworks形式（.nwc）などに変換してください。
